name,location,manufacturer,designer,type,model,track_layout,status,lift_launch,latitude,longitude,open_year,close_year,height,length,drop,max_angle,inversions,speed,restriction_low,restriction_up,gforce,duration,riders_per_hour,riders_per_train
Switchback Railway,Coney Island,LaMarcus Adna Thompson,LaMarcus Adna Thompson,Wood,,custom,closed,lift,40.574,-73.978,1884,,15.24,182.88,13.1064,30.0,0,9.600000000000001,,,2.9,60.0,1600.0,
Flip Flap Railway,Sea Lion Park,Lina Beecher,Lina Beecher,Wood,,,closed,,40.578,-73.979,1895,1902.0,,,,,1,,,,12.0,,,2.0
Switchback Railway (Euclid Beach Park),"Cleveland, Ohio, United States",,,Other,,,closed,,41.58,-81.57,1896,,,,,,0,,,,,,,
Loop the Loop (Coney Island),Coney Island,Edwin Prescott,Edward A. Green,Steel,,,closed,,40.5745,-73.978,1901,1910.0,,,,,1,,,,,,,4.0
Loop the Loop (Young's Pier),Young's Pier,Edwin Prescott,Edward A. Green,Steel,,,closed,,39.3538,-74.4342,1901,1912.0,,,,,1,,,,,,,
Cannon Coaster,Coney Island,George Francis Meyer,,Wood,,,closed,,40.575,-73.98,1902,1907.0,12.192,,,,0,,,,,,,
Leap-The-Dips,Lakemont Park,Federal Construction Company,Edward Joy Morris,Wood,,,operating,,,,1902,,12.4968,442.56960000000004,2.7432000000000003,25.0,0,16.0,,,,60.0,,
Figure Eight (Euclid Beach Park),"Cleveland, Ohio, United States",,,Other,,,closed,,41.58,-81.57,1904,,,,,,0,,,,,,,
Drop the Dip,Coney Island,Arthur Jarvis,"Christopher Feucht, Welcome Mosley",Other,,,closed,,40.5744,-73.9786,1907,1930.0,18.288,,,,0,,,,,60.0,,
Scenic Railway (Euclid Beach Park),"Cleveland, Ohio, United States",,,Other,,,closed,,41.58,-81.57,1907,,,,,,0,,,,,,,
Loop the Loop (Olentangy Park),Olentangy Park,Lina Beecher,Lina Beecher,Steel,,,closed,,40.0204,-83.0143,1908,,,,,,1,,,,,,,
Aero Dips,"Cleveland, Ohio, United States",,,Other,,,closed,,41.58,-81.57,1909,,,,,,0,,,,,,,
Backety-Back Scenic Railway,Crystal Beach,,John H. Brown,Wood,,,closed,,42.8675,-79.0592,1909,1926.0,,,,,0,16.0,,,,,,20.0
Racer (1910 roller coaster),Kennywood,Charlie Mach,John A. Miller,Wood,racing,dual-tracked,operating,lift,40.3869,-79.8619,1910,,22.098000000000003,1371.6000000000001,15.24,,0,64.0,1.1684,,,92.0,1400.0,24.0
Derby Racer,Revere Beach,Fred W. Pearce,,Wood,,figure 8,closed,,42.42,-70.986,1911,1936.0,,,,,0,,,,,,,
The Great Scenic Railway,Luna Park Melbourne,LaMarcus Thompson,,Wood,,,operating,lift,,,1912,,16.002000000000002,294.7416,,,0,59.68,1.0,,,,,20.0
